Year,State,Crime against Children(Minor),victims_06(Boys),victims_06(Girls),victims_06(Total),victims_06 to 12(Boys),victims_06 to 12(Girls),victims_06 to 12(Total),victims_12 to 16(Boys),victims_12 to 16(Girls),victims_12 to 16(Total),victims_16 to 18(Boys),victims_16 to 18(Girls),victims_16 to 18(Total), total chils victims(Boys),total child victims(Girls),total child victiims(Total),Crime Committed by Juveniles,Illiterate,Upto Primary,Above Primary to Matric,Above Matric to High Secondary,Above Higher Secondary,Total_education,Living with Parents,Living with Guardians,Home-less,Total_Family background
2023,Andhra Pradesh,2844,0,10,10,2,61,63,1,316,317,0,471,471,3,858,861,662,168,276,329,108,20,901,757,45,99,901
2023,Arunachal Pradesh,176,0,2,2,0,8,8,1,22,23,0,10,10,1,42,43,17,0,8,15,0,11,34,32,2,0,34
2023,Assam,10174,0,14,14,0,140,140,6,771,777,0,898,898,6,1823,1829,140,29,46,38,33,0,146,124,13,9,146
2023,Bihar,9906,0,6,6,0,91,91,0,329,329,0,499,499,0,925,925,1818,248,489,1104,573,43,2457,1869,397,191,2457
2023,Chhattisgarh,5904,0,28,28,0,93,93,0,561,561,0,823,823,0,1505,1505,1718,116,533,1116,357,39,2161,1913,173,75,2161
2023,Goa,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,7,28,6,0,43,39,2,2,43
2023,Gujarat,5083,0,13,13,0,87,87,0,1005,1005,0,1196,1196,0,2301,2301,1709,98,655,894,293,59,1999,1990,7,2,1999
2023,Haryana,6401,4,32,36,33,82,115,29,573,602,6,690,696,72,1377,1449,1574,168,501,984,289,44,1986,1420,104,462,1986
2023,Himachal Pradesh,704,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,174,9,35,151,49,0,244,225,19,0,244
2023,Jharkhand,1626,0,0,0,0,35,35,0,151,151,0,471,471,0,657,657,184,0,3,133,33,21,190,183,2,5,190
2023,Karnataka,8929,0,13,13,2,91,93,0,973,973,0,2038,2038,2,3115,3117,883,16,227,595,223,11,1072,1022,29,21,1072
2023,Kerala,5903,6,57,63,21,210,231,38,659,697,18,799,817,83,1725,1808,521,0,45,304,361,79,789,730,33,26,789
2023,Madhya Pradesh,22393,0,62,62,0,246,246,2,1565,1567,15,2003,2018,17,3876,3893,3619,447,952,1729,694,508,4330,3556,533,241,4330
